Image,Starter Height (Pixels),Bubble Count,Temperature (Â°F),Humidity (%)
image_0001.jpg,500.33337,3,66.56,62.0
image_0002.jpg,500.58496,4,66.56,62.0
image_0003.jpg,500.97278,3,66.74,62.0
image_0004.jpg,501.25146,2,66.74,61.0
image_0005.jpg,501.50964,6,66.74,61.0
image_0006.jpg,501.81934,4,66.56,61.0
image_0007.jpg,502.38904,6,66.56,62.0
image_0008.jpg,502.81848,4,66.56,62.0
image_0009.jpg,503.73145,4,66.56,62.0
image_0010.jpg,504.2821,3,66.56,62.0
image_0011.jpg,504.78467,4,66.56,63.0
image_0012.jpg,505.87695,4,66.56,63.0
image_0013.jpg,506.5072,4,66.56,63.0
image_0014.jpg,507.00378,5,66.38,62.0
image_0015.jpg,507.63867,5,66.38,62.0
image_0016.jpg,508.50525,5,66.38,62.0
image_0017.jpg,509.56335,5,66.38,62.0
image_0018.jpg,510.29797,6,66.38,62.0
image_0019.jpg,511.44434,6,66.38,62.0
image_0020.jpg,512.5619,7,66.38,62.0
image_0021.jpg,512.735,6,66.38,61.0
image_0022.jpg,513.67444,7,66.2,61.0
image_0023.jpg,513.64746,7,66.2,61.0
image_0024.jpg,514.95276,6,66.2,61.0
image_0025.jpg,515.579,8,66.02,61.0
image_0026.jpg,517.00244,9,66.02,61.0
image_0027.jpg,517.60754,9,66.02,61.0
image_0028.jpg,518.71765,9,65.84,61.0
image_0029.jpg,520.38293,8,65.84,61.0
image_0030.jpg,521.83887,11,65.84,61.0
image_0031.jpg,523.36707,11,65.66,61.0
image_0032.jpg,524.5626,12,65.66,61.0
image_0033.jpg,525.3612,13,65.66,61.0
image_0034.jpg,526.2394,14,65.48,61.0
image_0035.jpg,526.51953,16,65.48,61.0
image_0036.jpg,528.3838,17,65.48,61.0
image_0037.jpg,529.9398,17,65.3,61.0
image_0038.jpg,531.32324,17,65.3,61.0
image_0039.jpg,532.86096,17,65.3,61.0
image_0040.jpg,535.2003,19,65.3,61.0
image_0041.jpg,536.5133,17,65.12,61.0
image_0042.jpg,538.69934,19,65.12,61.0
image_0043.jpg,542.5669,22,65.12,61.0
image_0044.jpg,544.05383,21,65.12,61.0
image_0045.jpg,547.15173,25,65.12,61.0
image_0046.jpg,549.2877,26,65.12,61.0
image_0047.jpg,551.41565,26,65.12,61.0
image_0048.jpg,553.3729,29,64.94,61.0
image_0049.jpg,555.4457,28,64.94,61.0
image_0050.jpg,557.7162,34,64.94,61.0
image_0051.jpg,560.317,35,64.94,61.0
image_0052.jpg,563.4879,33,64.94,61.0
image_0053.jpg,567.51794,34,64.94,61.0
image_0054.jpg,569.6509,38,64.94,61.0
image_0055.jpg,573.37976,40,64.94,61.0
image_0056.jpg,576.2871,38,64.94,61.0
image_0057.jpg,579.1996,40,64.76,61.0
image_0058.jpg,581.94763,41,64.76,61.0
image_0059.jpg,584.3329,41,64.76,60.0
image_0060.jpg,587.4674,41,64.94,60.0
image_0061.jpg,590.6173,41,64.76,60.0
image_0062.jpg,593.50134,44,64.76,60.0
image_0063.jpg,596.02527,47,64.76,60.0
image_0064.jpg,598.4668,43,64.76,60.0
image_0065.jpg,600.6644,47,64.76,60.0
image_0066.jpg,604.3231,48,64.76,60.0
image_0067.jpg,607.568,49,64.76,60.0
image_0068.jpg,610.40564,48,64.76,60.0
image_0069.jpg,613.98987,51,64.76,60.0
image_0070.jpg,617.1959,55,64.76,60.0
image_0071.jpg,620.96326,53,64.76,60.0
image_0072.jpg,623.4336,58,64.76,60.0
image_0073.jpg,627.037,59,64.58,60.0
image_0074.jpg,631.24316,65,64.58,59.0
image_0075.jpg,635.1289,61,64.76,59.0
image_0076.jpg,638.4136,66,64.58,59.0
image_0077.jpg,642.44006,68,64.76,59.0
image_0078.jpg,646.24426,71,64.76,59.0
image_0079.jpg,649.3978,75,64.58,59.0
image_0080.jpg,653.24316,71,64.58,59.0
image_0081.jpg,658.3324,75,64.58,59.0
image_0082.jpg,662.4541,82,64.58,59.0
image_0083.jpg,667.02014,84,64.58,59.0
image_0084.jpg,671.3356,84,64.58,59.0
image_0085.jpg,673.89453,86,64.58,59.0
image_0086.jpg,675.1727,92,64.58,59.0
image_0087.jpg,676.5737,94,64.58,59.0
image_0088.jpg,679.3766,95,64.58,59.0
image_0089.jpg,681.3086,94,64.58,59.0
image_0090.jpg,682.80115,97,64.58,59.0
image_0091.jpg,684.3214,93,64.58,59.0
image_0092.jpg,686.1732,95,64.58,59.0
image_0093.jpg,687.6676,102,64.58,58.0
image_0094.jpg,689.1935,91,64.58,58.0
image_0095.jpg,690.57275,99,64.58,58.0
image_0096.jpg,692.19104,105,64.58,58.0
image_0097.jpg,693.3501,102,64.58,58.0
image_0098.jpg,694.8921,101,64.58,58.0
image_0099.jpg,696.2367,107,64.58,58.0
image_0100.jpg,697.834,107,64.58,58.0
